"Settings","La configuración"
"Main settings","La configuración general"
"API key","La llave API"
"You can create an API key in the administration section of RetailCRM","Puede crear la llave API en la sección administrativa del RetailCRM"
"API version","La versión API"
"Catalogue settings","La configuración del catálogo"
"Attributes for uploading to ICML","Los atributos para importar al ICML"
"Select attributes which will be uploaded to ICML","Seleccione los atributos que se importarán al ICML"
"Delivery types","Los métodos del envío"
"Payment types","Los métodos de pago"
"Order statuses","Los estados de pedidos"
"Uploading orders","La importación de los pedidos"
"Order number","El número del pedido"
"Enter order numbers separated by a comma for uploading","Introduce el número del pedido separado por coma para la importación"
"Setting the store by default","La configuración de la tienda por defecto"
"Setting the stores correspondence","La configuración de la concordancia de tienda"
"Enter API of your URL and API key","Introduce el enlace API y la llave API"
"Incorrect URL of RetailCRM","La dirección del RetailCRM es incorrecto"
"Make sure that the entered data is correct","Asegúrese de que los datos introducidos son correctos"
"Incorrect API key","La llave API es incorrecta"
"Incorrect URL of RetailCRM or API key","La dirección del RetailCRM o la llave API son incorrectos"
"The selected API version is unavailable","La versión de la API seleccionada no está disponible"
"Send","Enviar"
"Default site","Tienda por defecto"
"Activate","Active"
"Site key","Clave de la página web"
"Synchronization of the stock balance","Sincronizar el stock"
