"Settings","Настройки"
"Main settings","Главные настройки"
"API key","API ключ"
"You can create an API key in the administration section of retailCRM","Вы можете создать API ключ в административном разделе retailCRM"
"API version","Версия API"
"Catalogue settings","Настройки каталога"
"Attributes for uploading to ICML","Атрибуты для выгрузки в ICML"
"Select attributes which will be uploaded to ICML","Выберите атрибуты, которые будут выгружены в ICML"
"Delivery types","Способы доставки"
"Payment types","Способы оплаты"
"Order statuses","Статусы заказа"
"Uploading orders","Выгрузка заказов"
"Order number","Номер заказа"
"Enter order numbers separated by a comma for uploading","Введите номера заказов для выгрузки через запятую"
"Setting the store by default","Настройка магазина по умолчанию"
"Setting the stores correspondence","Настройка соответствия магазинов"
"Enter API of your URL and API key","Введите Ваш API URL и API ключ"
"Incorrect URL of retailCRM","Некорректный адрес retailCRM"
"Make sure that the entered data is correct","Убедитесь, что введенные данные верны"
"Incorrect API key","Некорректный API ключ"
"Incorrect URL of retailCRM or API key","Некорректный адрес retailCRM или API ключ"
"The selected API version is unavailable","Выбранная версия API недоступна"
"Send","Выгрузить"
"Default site","Сайт по умолчанию"
"Activate","Активировать"
"Site key","Ключ сайта"
